instance,profile,opt_cost,cost,err,mean,err_mean,std,k,it_mean
A-n45-k7,HAS,1146.0,1175.6,2.583%,1181.86,3.129%,5.62,7,5843.2
A-n60-k9,HAS-5,1354.0,1372.94,1.399%,1394.51,2.992%,17.97,9,3580.6
A-n80-k10,AS,1763.0,1824.06,3.463%,1839.3,4.328%,15.81,10,2704.6
B-n56-k7,HAS-5,707.0,755.62,6.877%,764.78,8.172%,8.8,7,3663.6
B-n66-k9,AS,1316.0,1338.72,1.726%,1341.88,1.966%,2.38,9,2954.0
B-n78-k10,HAS-5,1221.0,1273.12,4.269%,1283.98,5.158%,9.99,10,2495.0
E-n101-k14,HAS-SAV,1071.0,1141.05,6.540%,1151.89,7.553%,8.94,14,2621.6
E-n76-k8,HAS-1,735.0,758.97,3.261%,771.25,4.931%,10.78,8,3369.8
P-n101-k4,HAS-1,681.0,697.04,2.356%,705.09,3.537%,4.84,4,2021.8
P-n50-k10,HAS-5,696.0,707.03,1.585%,720.84,3.569%,10.26,10,1506.2
